MD5,SHA1,FileNames
"60ca5b8a88d17229f7eb1a2a61919e7d","a2d4d5ca5d39a1bb209b47338f79a08e8eedc416","Materiale\C:\Users\stefa\Desktop\Materiale\report-video-copia-slave\video-copia-slave-bookmark5-5-891.jpg"
"7646fbe3f73ad130ede8333fbc1ebeec","e0110df61b96bfbaaefc1077a2c623375798461a","Materiale\C:\Users\stefa\Desktop\Materiale\report-video-copia-slave\video-copia-slave-bookmark5-5-1120.jpg"
"77c2b3f67c9813f9fdedf8368cb7c9c7","c6e70ab1e404ea39fcddca213b3f478704c58a9b","Materiale\C:\Users\stefa\Desktop\Materiale\report-video-copia-slave\video-copia-slave-bookmark5-5-1219.jpg"
"5ea5a7adfb1e908a5211f117ec2138a9","d1c4a4f92ffe2a3ad0766187a492b27ed074c92b","Materiale\C:\Users\stefa\Desktop\Materiale\report-video-copia-slave\video-copia-slave-bookmark5-5-1289.jpg"
"d83fc929b7d5b4aac0e1f7901b99d4cd","8dd4380decfba1b51d92454e92a6cc45e378e380","Materiale\C:\Users\stefa\Desktop\Materiale\report-video-copia-slave\video-copia-slave-bookmark5-5-1317.jpg"
"418e34e42e1fd66e4e363ce207b2b95b","c0ffe2dc2743546d0de3e23c5a8c6ef4a3c60e16","Materiale\C:\Users\stefa\Desktop\Materiale\report-video-copia-slave\video-copia-slave-bookmark5-5-1406.jpg"
"c9775808407c007123ec3364ec8a5cd2","ee2ee08b682b4b7ea162ec2bb4638ef855f0d5a5","Materiale\C:\Users\stefa\Desktop\Materiale\report-video-copia-slave\video-copia-slave-bookmark5-5-1562.jpg"
"03fbc8c30922d7699ebc55cc7ebf3274","562dea81f867876627d12d717d5de5f4975c9c5e","Materiale\C:\Users\stefa\Desktop\Materiale\report-video-copia-slave\video-copia-slave-bookmark5-5-1588.jpg"
"e2bd1dcae4c9d505aba31839d8f9aa99","6a9c9ea69b4a2cd2f680cc9469c030b1fa0e365a","Materiale\C:\Users\stefa\Desktop\Materiale\report-video-copia-slave\video-copia-slave-bookmark13-34-428.jpg"
"ed0ae7886cc506c3b34077530da19918","7c3e7bf9f4983158f7bb0970e7978bde15f744ac","Materiale\C:\Users\stefa\Desktop\Materiale\report-video-copia-slave\video-copia-slave-bookmark9-54-838.jpg"
"c3b7a9b3cc5ce965abeefc344a261917","c2e54cb725de0387eccd44d73608f116ba25fa22","Materiale\C:\Users\stefa\Desktop\Materiale\report-video-copia-slave\video-copia-slave-bookmark15-19-1045.jpg"
"a48a1594e063ebad8a4b57e8f89b5281","799d621f4b904549352e72dee66c0a97c9bb2c85","Materiale\C:\Users\stefa\Desktop\Materiale\report-video-copia-slave\video-copia-slave.html"










